data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,162484235,8.600,1,14666608
2022,8,162484236,1.600,1,14666609
2022,8,162484238,2.000,1,14666610
2022,12,162484241,176.050,1,14666611
2022,11,165051192,6.000,1,15012416
2022,12,165051192,3.500,1,15012417
2022,13,165051192,1.000,1,15012418
2022,8,162484244,0.200,1,14666612
2022,5,165051213,30.000,1,15012419
2022,8,162484259,4.000,1,14666613
2022,5,165051224,6.500,1,15012420
2022,12,162484261,0.250,1,14666614
2022,2,162484264,33.800,1,14666615
2022,12,162484265,31.500,1,14666616
2022,12,162492585,0.690,1,14667966
2022,5,165051226,1.000,1,15012421
2022,8,165051226,10.000,1,15012422
2022,5,165051227,0.100,1,15012423
2022,12,165051237,1.000,1,15012424
2022,12,162492601,1.000,1,14667968
2022,8,162492604,1.000,1,14667969
2022,5,165051240,1.000,1,15012425
2022,5,162492605,3.500,1,14667970
2022,5,162492606,4.500,1,14667971
2022,5,165051244,1.000,1,15012426
2022,12,162492609,1.000,1,14667972
2022,1,157631545,3.300,1,14015940
2022,8,162492617,10.000,1,14667973
2022,5,162492618,11.500,1,14667974
2022,5,162492619,16.200,1,14667975
2022,5,162492623,25.300,1,14667976
2022,5,162492627,1.000,1,14667977
2022,2,162492630,0.000,1,14667981
2022,8,162492632,3.000,1,14667982
2022,12,162492640,3.400,1,14667984
2022,2,162492654,1.100,1,14667985
2022,5,162492676,26.000,1,14667987
2022,5,162492699,15.400,1,14667988
2022,8,162492710,3.200,1,14667989
2022,1,162492714,3.600,1,14667990
2022,8,162492720,0.300,1,14667992
2022,5,162492717,5.400,1,14667991
2022,8,162492735,8.000,9,14667993
2022,12,162492737,14.000,1,14667994
2022,5,162492739,3.000,1,14667995
2022,8,162492743,1.000,1,14667997
2022,5,162492742,1.000,1,14667996
2022,8,162492758,7.000,1,14667998
2022,8,162492765,1.000,1,14667999
2022,12,162492782,0.800,1,14668000
2022,5,162492783,16.600,1,14668001
2022,12,162492793,1.310,1,14668002
2022,8,162492817,1.100,1,14668005
2022,8,162492802,13.190,1,14668003
2022,5,162492819,2.000,1,14668007
2022,12,162492818,1.000,1,14668006
2022,5,162492826,67.000,1,14668008
2022,8,162492830,3.000,1,14668010
2022,16,162492829,37.000,9,14668009
2022,5,162492835,224.400,1,14668011
2022,12,162492838,2.300,1,14668012
2022,12,162492847,1.500,1,14668013
2022,1,162492853,1.000,1,14668014
2022,12,162492859,2.300,1,14668017
2022,12,162492857,0.100,1,14668016
2022,12,162492856,0.700,1,14668015
2022,5,162492877,40.400,1,14668018
2022,5,162492878,0.700,1,14668019
2022,8,162492879,4.000,1,14668020
2022,12,162492888,0.700,1,14668022
2022,5,162492887,25.000,1,14668021
2022,2,162492891,0.990,1,14668023
2022,12,162492895,3.000,1,14668024
2022,12,162492897,2.000,1,14668025
2022,16,162492898,6.000,1,14668026
2022,5,162492902,37.000,1,14668028
2022,16,162492905,270.000,1,14668031
